# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = BS7910_us_model
# start_datetime = 2023-10-03 02:26:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/BS7910_us_data_1.json
# init = 2 (Default)
# random
#   seed = 4203047700 (Default)
# output
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/BS7910_us_chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,Kmat_MPa_m_pred,mu_pred
# Adaptation terminated
# Step size = 0.91106
# Diagonal elements of inverse mass matrix:
# 0.00670804
-158.109,0.964963,0.91106,2,3,0,158.135,35.746,65.9071,71.2
-157.367,0.898797,0.91106,1,3,0,158.809,41.2934,52.5299,71.2
-157.244,0.935659,0.91106,2,3,0,157.88,39.2324,70.3335,71.2
-157.584,0.932061,0.91106,1,3,0,157.644,37.1096,73.2337,71.2
-157.542,0.866839,0.91106,2,7,0,158.482,42.2162,17.948,71.2
-157.253,1,0.91106,2,3,0,157.482,39.0549,109.898,71.2
-158.026,0.852499,0.91106,1,3,0,158.155,35.9214,82.8133,71.2
-157.76,1,0.91106,1,1,0,158.031,36.5701,55.5155,71.2
-157.76,0.787536,0.91106,1,1,0,158.49,36.5701,86.9589,71.2
-158.083,0.923705,0.91106,1,1,0,158.145,35.7991,79.8387,71.2
-158.136,0.986862,0.91106,1,1,0,158.326,35.6901,63.0344,71.2
-157.968,1,0.91106,1,1,0,158.23,36.0524,63.2039,71.2
-157.934,1,0.91106,1,1,0,158.116,36.1314,86.539,71.2
-157.395,0.899165,0.91106,1,3,0,158.656,41.4696,117.828,71.2
-157.334,1,0.91106,1,1,0,157.39,41.0654,93.9923,71.2
-158.055,0.860045,0.91106,2,3,0,158.765,35.8594,36.1197,71.2
-158.503,0.892756,0.91106,1,1,0,158.613,35.0186,101.165,71.2
-157.566,1,0.91106,2,7,0,158.31,42.3208,48.5079,71.2
-157.775,0.986308,0.91106,2,3,0,157.799,43.1159,102.35,71.2
-157.43,0.973007,0.91106,2,3,0,158.076,41.6718,107.879,71.2
-158.345,0.874601,0.91106,1,3,0,158.388,44.7618,84.5072,71.2
-157.279,0.999342,0.91106,2,3,0,158.346,40.5666,113.978,71.2
-157.312,0.997669,0.91106,2,3,0,157.314,40.8876,150.481,71.2
-157.689,0.960982,0.91106,2,7,0,157.689,36.7755,44.8345,71.2
-157.239,1,0.91106,2,3,0,157.636,39.8617,45.5516,71.2
-157.245,0.999384,0.91106,2,7,0,157.245,39.2234,77.7106,71.2
-157.668,0.947619,0.91106,2,3,0,157.682,42.7295,78.0477,71.2
-158.049,0.805779,0.91106,1,3,0,159.53,35.8733,87.8924,71.2
-158.454,0.967574,0.91106,2,3,0,158.568,35.1021,95.7049,71.2
-157.664,1,0.91106,2,3,0,158.266,36.8505,94.0931,71.2
-157.239,0.994331,0.91106,1,3,0,157.67,39.3855,113.719,71.2
-159.065,0.670809,0.91106,1,3,0,159.509,34.1853,84.8732,71.2
-157.253,0.939021,0.91106,1,3,0,159.444,40.2208,47.3754,71.2
-157.29,0.983618,0.91106,1,3,0,157.367,38.6127,40.1874,71.2
-157.26,0.985974,0.91106,2,3,0,157.412,40.3319,108.71,71.2
-157.305,0.990598,0.91106,1,1,0,157.305,40.8253,101.623,71.2
-157.245,0.998041,0.91106,2,3,0,157.322,40.0578,60.1225,71.2
-157.25,0.995686,0.91106,1,3,0,157.279,39.1159,70.3603,71.2
-157.326,0.972652,0.91106,1,3,0,157.422,41.0068,-4.17159,71.2
-157.241,0.998978,0.91106,1,3,0,157.32,39.9496,119.547,71.2
-157.352,0.983367,0.91106,2,3,0,157.383,41.1965,61.9442,71.2
-157.363,0.999254,0.91106,2,3,0,157.385,41.2695,135.302,71.2
-157.466,0.933736,0.91106,1,3,0,157.904,37.5665,98.8723,71.2
-157.465,1,0.91106,2,7,0,157.467,41.8546,35.8875,71.2
-157.445,0.94333,0.91106,1,3,0,158.058,37.6584,78.8448,71.2
-157.322,1,0.91106,1,1,0,157.419,38.349,78.1265,71.2
-159.39,0.764341,0.91106,2,3,0,159.407,47.0317,28.6892,71.2
-158.059,1,0.91106,2,3,0,159.138,43.9969,146.414,71.2
-157.455,0.909472,0.91106,1,3,0,159.049,37.6115,69.316,71.2
-159.006,0.813159,0.91106,2,7,0,159.009,46.2641,77.9818,71.2
-160.227,0.801948,0.91106,1,1,0,160.314,48.5429,106.361,71.2
-158.889,1,0.91106,1,1,0,160.044,46.0162,62.1239,71.2
-159.987,0.818899,0.91106,1,1,0,160.075,48.1278,91.1904,71.2
-160.716,0.879571,0.91106,1,1,0,161.038,49.3549,125.651,71.2
-157.978,0.979735,0.91106,2,7,0,160.173,36.0284,120.156,71.2
-157.955,1,0.91106,1,1,0,158.137,36.0824,75.2515,71.2
-157.694,1,0.91106,1,1,0,157.947,36.7602,115.576,71.2
-157.901,0.950999,0.91106,1,1,0,157.965,36.2097,66.0875,71.2
-157.263,1,0.91106,2,3,0,157.787,40.3728,85.8364,71.2
-157.457,0.967927,0.91106,2,3,0,157.545,41.8116,54.261,71.2
-157.302,0.988974,0.91106,2,3,0,157.569,40.8023,45.4972,71.2
-157.351,0.989714,0.91106,1,1,0,157.356,41.1903,103.58,71.2
-157.33,1,0.91106,1,1,0,157.361,41.0357,34.6861,71.2
-157.483,0.968869,0.91106,1,1,0,157.483,41.9415,-2.96461,71.2
-157.245,0.984985,0.91106,1,3,0,157.599,39.202,103.149,71.2
-157.245,0.933175,0.91106,1,3,0,157.563,39.202,85.4063,71.2
-157.25,0.995623,0.91106,1,3,0,157.28,40.1606,58.2271,71.2
-157.25,0.668437,0.91106,1,3,0,159.278,40.1606,31.6382,71.2
-157.573,0.937931,0.91106,1,3,0,157.63,42.3509,24.6247,71.2
-158.4,0.860854,0.91106,2,3,0,159.05,44.8991,110.339,71.2
-158.134,1,0.91106,1,1,0,158.461,44.2077,58.5072,71.2
-157.876,1,0.91106,1,1,0,158.151,43.4481,142.3,71.2
-157.78,1,0.91106,2,3,0,157.942,43.1329,68.6515,71.2
-158.214,0.972921,0.91106,2,3,0,158.24,44.4236,88.8039,71.2
-157.305,0.986053,0.91106,1,3,0,158.152,40.8306,34.1306,71.2
-157.412,0.977862,0.91106,1,1,0,157.413,41.5723,119.67,71.2
-157.37,1,0.91106,1,1,0,157.421,41.3167,137.973,71.2
-157.328,1,0.91106,1,1,0,157.372,41.0234,48.9681,71.2
-158.216,0.772769,0.91106,1,3,0,158.984,35.5321,56.0544,71.2
-157.978,1,0.91106,1,1,0,158.282,36.0284,63.9679,71.2
-157.999,0.783778,0.91106,1,3,0,160.142,43.8248,81.4645,71.2
-157.845,0.858717,0.91106,1,3,0,159.79,36.346,76.3009,71.2
-157.845,0.797107,0.91106,1,1,0,158.545,36.346,96.6169,71.2
-158.029,0.714172,0.91106,2,7,0,159.966,43.9108,99.8578,71.2
-157.268,0.98797,0.91106,1,3,0,158.013,40.4352,17.3556,71.2
-157.407,0.951415,0.91106,1,3,0,157.593,37.8407,19.023,71.2
-157.348,0.962904,0.91106,1,3,0,157.764,41.1701,119.159,71.2
-157.242,0.998705,0.91106,1,3,0,157.341,39.9868,49.8758,71.2
-157.611,0.909464,0.91106,1,3,0,157.8,37.0213,56.9805,71.2
-158.152,0.876632,0.91106,1,1,0,158.165,35.6589,49.4303,71.2
-157.238,0.986809,0.91106,1,3,0,158.19,39.4469,76.6729,71.2
-157.239,0.964755,0.91106,2,3,0,157.487,39.3967,24.6871,71.2
-157.236,0.99988,0.91106,1,3,0,157.24,39.6562,23.2857,71.2
-157.251,0.920347,0.91106,2,3,0,157.83,39.0922,28.8759,71.2
-157.364,0.980378,0.91106,1,3,0,157.371,38.0734,88.5355,71.2
-157.475,0.954847,0.91106,2,3,0,157.779,37.5243,68.5219,71.2
-157.257,0.977977,0.91106,1,3,0,157.625,40.2892,71.7113,71.2
-157.236,1,0.91106,2,3,0,157.256,39.6708,109.247,71.2
-157.315,0.98185,0.91106,1,3,0,157.341,40.9139,83.5167,71.2
-157.462,0.935115,0.91106,1,3,0,157.795,37.5844,88.9903,71.2
-157.336,1,0.91106,2,3,0,157.436,38.2515,47.5383,71.2
-157.295,1,0.91106,1,1,0,157.332,38.5648,20.5361,71.2
-159.151,0.690131,0.91106,1,3,0,159.383,34.0723,70.4042,71.2
-158.141,1,0.91106,1,1,0,158.956,35.6814,15.2496,71.2
-158.189,0.988006,0.91106,1,1,0,158.394,35.5858,110.856,71.2
-157.98,1,0.91106,1,1,0,158.268,36.0244,141.849,71.2
-157.98,0.693686,0.91106,1,1,0,159.056,36.0244,21.9051,71.2
-157.834,1,0.91106,2,3,0,158.052,36.3754,135.014,71.2
-157.248,0.994551,0.91106,1,3,0,157.805,39.1386,157.376,71.2
-157.276,0.993083,0.91106,2,3,0,157.308,38.7514,70.0829,71.2
-157.278,0.999966,0.91106,2,7,0,157.278,40.556,79.8703,71.2
-158.706,0.859454,0.91106,2,3,0,158.808,34.6966,85.7576,71.2
-157.238,0.980042,0.91106,1,3,0,158.758,39.4294,72.0045,71.2
-157.85,0.917356,0.91106,2,3,0,157.985,36.3336,76.2037,71.2
-159.155,0.719022,0.91106,1,1,0,159.162,34.0675,102.846,71.2
-157.293,0.899109,0.91106,1,3,0,159.789,40.7201,5.57392,71.2
-157.266,1,0.91106,2,3,0,157.289,40.4082,56.1928,71.2
-157.255,0.997003,0.91106,2,3,0,157.297,40.2444,53.5478,71.2
-157.297,0.833209,0.91106,2,3,0,158.672,38.548,57.4134,71.2
-157.254,0.939708,0.91106,2,3,0,157.752,40.2405,30.2739,71.2
-157.254,1,0.91106,1,1,0,157.258,40.2399,128.676,71.2
-158.038,0.849101,0.91106,1,3,0,158.224,43.939,39.4771,71.2
-157.646,1,0.91106,1,1,0,157.975,42.6449,89.6678,71.2
-157.25,0.976349,0.91106,1,3,0,157.836,39.1042,84.6372,71.2
-157.283,0.981869,0.91106,2,3,0,157.382,40.6209,1.79576,71.2
# 
#  Elapsed Time: 0.101 seconds (Warm-up)
#                0.006 seconds (Sampling)
#                0.107 seconds (Total)
# 
