# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = Barson_Rolfe_model
# start_datetime = 2023-10-03 02:25:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/Barson_Rolfe_data_1.json
# init = 2 (Default)
# random
#   seed = 4202960196 (Default)
# output
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/Barson_Rolfe_chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,Kmat_pred_ksi,mu_pred
# Adaptation terminated
# Step size = 0.912853
# Diagonal elements of inverse mass matrix:
# 0.0185225
-74.1286,0.8008,0.912853,2,3,0,74.4324,4.02989,143.4,135.185
-71.2207,1,0.912853,2,3,0,73.2823,4.63859,141.153,135.185
-70.4573,1,0.912853,1,1,0,71.0722,4.94374,126.893,135.185
-70.273,1,0.912853,1,1,0,70.499,5.04773,134.726,135.185
-70.413,0.987571,0.912853,2,3,0,70.5122,4.96706,132.565,135.185
-70.0579,1,0.912853,1,1,0,70.3401,5.20312,137.838,135.185
-70.5748,0.743981,0.912853,2,3,0,72.1398,4.88614,136.212,135.185
-69.8789,1,0.912853,2,3,0,70.4239,6.15101,128.434,135.185
-69.906,0.954372,0.912853,2,7,0,70.2662,5.35993,131.154,135.185
-69.7734,0.985668,0.912853,1,3,0,69.9999,5.88031,134.143,135.185
-69.7959,0.946739,0.912853,2,3,0,70.1705,5.96577,127.672,135.185
-69.7959,0.874772,0.912853,1,3,0,70.5293,5.96577,134.941,135.185
-69.9796,0.972774,0.912853,1,3,0,69.9915,6.30459,127.334,135.185
-70.1172,0.991832,0.912853,2,3,0,70.1295,6.47064,136.093,135.185
-70.2311,0.980391,0.912853,1,1,0,70.2678,6.5887,131.437,135.185
-70.4403,0.96548,0.912853,1,1,0,70.475,6.77945,135.956,135.185
-70.446,0.999689,0.912853,2,3,0,70.5658,6.78431,140.036,135.185
-71.7447,0.899909,0.912853,2,7,0,71.7928,4.48752,135.156,135.185
-70.4849,1,0.912853,2,3,0,71.417,4.92971,136.284,135.185
-72.5081,0.538206,0.912853,1,1,0,72.5306,4.31071,138.393,135.185
-70.3244,1,0.912853,1,1,0,71.8597,5.01667,133.317,135.185
-70.17,1,0.912853,2,3,0,70.3532,5.11599,123.748,135.185
-69.9409,1,0.912853,1,1,0,70.1218,5.31778,136.659,135.185
-70.0468,0.97408,0.912853,1,1,0,70.0687,5.21277,132.22,135.185
-69.7713,0.998681,0.912853,1,3,0,70.0212,5.64334,135.069,135.185
-70.1411,0.849417,0.912853,2,3,0,70.821,6.49659,126.525,135.185
-69.8132,0.994194,0.912853,1,3,0,70.1073,6.01426,133.102,135.185
-70.1675,0.90171,0.912853,1,3,0,70.5314,5.11779,137.425,135.185
# 
#  Elapsed Time: 0.122 seconds (Warm-up)
#                0.007 seconds (Sampling)
#                0.129 seconds (Total)
# 
