iteration,chain,sigma,Kmat_pred_ksi,mu_pred
128,2,6.43105,134.754,135.185
129,2,6.69892,132.642,135.185
130,2,6.45108,135.511,135.185
131,2,5.83485,126.417,135.185
132,2,6.21569,131.154,135.185
133,2,4.57921,140.008,135.185
134,2,5.49637,129.979,135.185
135,2,5.73534,129.778,135.185
136,2,5.69762,141.943,135.185
137,2,5.7458,138.329,135.185
138,2,6.30483,135.436,135.185
139,2,5.96529,140.165,135.185
140,2,6.04658,129.357,135.185
141,2,6.62021,145.415,135.185
142,2,5.73124,144.554,135.185
143,2,5.38426,144.917,135.185
144,2,4.83251,140.166,135.185
145,2,4.83251,128.515,135.185
146,2,5.51765,140.087,135.185
147,2,5.70582,131.703,135.185
148,2,5.70582,139.971,135.185
149,2,7.32154,144.176,135.185
150,2,6.10791,132.037,135.185
151,2,5.75331,135.162,135.185
152,2,5.47436,139.554,135.185
153,2,5.64344,142.686,135.185
154,2,6.17045,141.844,135.185
155,2,5.47047,130.372,135.185
156,2,5.66012,142.975,135.185
157,2,5.49883,133.799,135.185
158,2,4.49872,132.318,135.185
159,2,5.09611,134.062,135.185
160,2,4.88034,126.889,135.185
161,2,3.9609,132.646,135.185
162,2,6.30972,144.643,135.185
163,2,6.04329,134.837,135.185
164,2,6.92214,131.152,135.185
165,2,5.4188,139.741,135.185
166,2,5.4188,139.671,135.185
167,2,5.12652,130.979,135.185
168,2,5.40595,138.522,135.185
169,2,5.17894,136.935,135.185
170,2,6.03335,133.836,135.185
171,2,4.69928,130.998,135.185
172,2,6.54065,138.059,135.185
173,2,6.10498,126.688,135.185
174,2,5.17111,142.36,135.185
175,2,5.17111,140.689,135.185
176,2,5.11523,136.333,135.185
177,2,5.33161,129.996,135.185
178,2,5.33161,142.764,135.185
179,2,4.69548,136.82,135.185
180,2,4.58092,133.341,135.185
181,2,6.85067,123.636,135.185
182,2,5.30939,133.511,135.185
183,2,6.11588,128.505,135.185
184,2,5.03949,141.985,135.185
185,2,5.28854,135.874,135.185
186,2,5.8867,131.304,135.185
187,2,5.8867,138.092,135.185
188,2,6.62707,129.607,135.185
189,2,5.24925,148.376,135.185
190,2,4.92614,133.228,135.185
191,2,6.2369,139.554,135.185
192,2,5.90881,127.583,135.185
193,2,6.06462,130.063,135.185
194,2,6.06462,143.305,135.185
195,2,6.53191,144.453,135.185
196,2,5.9818,125.385,135.185
197,2,7.06464,136.492,135.185
