a_opt,u_opt,Kmat_meas
no_action,0.0,187.066
no_action,0.005,145.739
repair,0.021999999515712264,129.95
no_action,0.0,216.875
repair,0.019999999552965164,139.097
no_action,0.0,157.004
repair,0.02299999949708581,122.51
no_action,0.0,157.164
repair,0.020999999534338714,138.573
no_action,0.0,198.554
no_action,0.0,216.196
no_action,0.0,240.171
no_action,0.0,183.06
no_action,0.0,166.262
reduce_operation,0.02500000037252903,110.091
no_action,0.0,177.288
reduce_operation,0.026000000348314643,100.112
repair,0.020999999534338714,132.166
no_action,0.005,146.194
repair,0.020999999534338714,133.937
no_action,0.005,145.934
no_action,0.002,148.882
no_action,0.0,159.833
no_action,0.001,152.174
no_action,0.002,149.185
no_action,0.001,150.186
no_action,0.0,163.419
repair,0.02299999949708581,122.599
no_action,0.0,170.396
repair,0.020999999534338714,134.008
no_action,0.0,181.567
no_action,0.0,207.601
no_action,0.0,161.717
no_action,0.0,211.036
no_action,0.0,201.471
no_action,0.0,198.771
no_action,0.0,245.693
no_action,0.0,235.175
reduce_operation,0.02500000037252903,104.171
no_action,0.007,144.608
repair,0.024999999459832906,117.465
no_action,0.018,140.691
repair,0.019999999552965164,138.813
no_action,0.01,143.052
repair,0.019999999552965164,139.097
repair,0.020999999534338714,131.249
no_action,0.001,151.46
no_action,0.0,170.206
repair,0.02299999949708581,122.869
no_action,0.0,212.558
no_action,0.001,151.702
no_action,0.0,160.858
no_action,0.0,174.461
repair,0.02299999949708581,122.399
repair,0.019999999552965164,139.178
no_action,0.0,160.217
repair,0.020999999534338714,136.553
no_action,0.001,152.018
no_action,0.001,150.213
